topic,action,path,reason
"""[object Object",create_planned,"/home/dan/wealtheow/Topic Notes/""[object Object.md",missing file in vault
"""Doe 2021 Social Media And Political Polarisation"",""Doe 2021"", ""Doe2021SocialMediaAnd""",create_planned,"/home/dan/wealtheow/Topic Notes/""Doe 2021 Social Media And Political Polarisation"",""Doe 2021"", ""Doe2021SocialMediaAnd"".md",missing file in vault
"""exploitation",create_planned,"/home/dan/wealtheow/Topic Notes/""exploitation.md",missing file in vault
"""Jones 2018 Reimagining Responsibility A Feminist Ethics"",""Jones 2018"", ""Jones2018ReimaginingResponsibilityA""",create_planned,"/home/dan/wealtheow/Topic Notes/""Jones 2018 Reimagining Responsibility A Feminist Ethics"",""Jones 2018"", ""Jones2018ReimaginingResponsibilityA"".md",missing file in vault
"""Smith 2020 Markets And Merchants Trade In"",""Smith 2020"", ""Smith2020MarketsAndMerchants""",create_planned,"/home/dan/wealtheow/Topic Notes/""Smith 2020 Markets And Merchants Trade In"",""Smith 2020"", ""Smith2020MarketsAndMerchants"".md",missing file in vault
"""{ allTags }"":",create_planned,"/home/dan/wealtheow/Topic Notes/""{ allTags }"":.md",missing file in vault
"""{ tags }"":",create_planned,"/home/dan/wealtheow/Topic Notes/""{ tags }"":.md",missing file in vault
'On Exactitude in Science' (Short Story),instantiated,/home/dan/wealtheow/Topic Notes/'On Exactitude in Science' (Short Story).md,filename exists in vault
'Red Zone' (Quotation),instantiated,/home/dan/wealtheow/Topic Notes/'Red Zone' (Quotation).md,filename exists in vault
'Worker Moment' (Quotation),instantiated,/home/dan/wealtheow/Topic Notes/'Worker Moment' (Quotation).md,filename exists in vault
1,create_planned,/home/dan/wealtheow/Topic Notes/1.md,missing file in vault
1.C Practice Sentences,instantiated,/home/dan/wealtheow/.trash/1.C Practice Sentences.md,filename exists in vault
1789 (Year),instantiated,/home/dan/wealtheow/Topic Notes/1789 (Year).md,filename exists in vault
1872,instantiated,/home/dan/wealtheow/Topic Notes/1872.md,filename exists in vault
1899,instantiated,/home/dan/wealtheow/Topic Notes/1899.md,filename exists in vault
18th Century,create_planned,/home/dan/wealtheow/Topic Notes/18th Century.md,missing file in vault
18th century,create_planned,/home/dan/wealtheow/Topic Notes/18th century.md,missing file in vault
18th-century fiction,create_planned,/home/dan/wealtheow/Topic Notes/18th-century fiction.md,missing file in vault
1930s,instantiated,/home/dan/wealtheow/Topic Notes/1930s.md,filename exists in vault
1930s politics,create_planned,/home/dan/wealtheow/Topic Notes/1930s politics.md,missing file in vault
1939-1945 (Period),instantiated,/home/dan/wealtheow/Topic Notes/1939-1945 (Period).md,filename exists in vault
1941-1979 (Era),instantiated,/home/dan/wealtheow/Topic Notes/1941-1979 (Era).md,filename exists in vault
1950s,create_planned,/home/dan/wealtheow/Topic Notes/1950s.md,missing file in vault
1950s (Period),instantiated,/home/dan/wealtheow/Topic Notes/1950s (Period).md,filename exists in vault
