topic,action,path,reason
"""[object Object",create_planned,"/home/dan/wealtheow/Topic Notes/""[object Object.md",missing topic note
"""Doe 2021 Social Media And Political Polarisation"",""Doe 2021"", ""Doe2021SocialMediaAnd""",create_planned,"/home/dan/wealtheow/Topic Notes/""Doe 2021 Social Media And Political Polarisation"",""Doe 2021"", ""Doe2021SocialMediaAnd"".md",missing topic note
"""exploitation",create_planned,"/home/dan/wealtheow/Topic Notes/""exploitation.md",missing topic note
"""Jones 2018 Reimagining Responsibility A Feminist Ethics"",""Jones 2018"", ""Jones2018ReimaginingResponsibilityA""",create_planned,"/home/dan/wealtheow/Topic Notes/""Jones 2018 Reimagining Responsibility A Feminist Ethics"",""Jones 2018"", ""Jones2018ReimaginingResponsibilityA"".md",missing topic note
"""Smith 2020 Markets And Merchants Trade In"",""Smith 2020"", ""Smith2020MarketsAndMerchants""",create_planned,"/home/dan/wealtheow/Topic Notes/""Smith 2020 Markets And Merchants Trade In"",""Smith 2020"", ""Smith2020MarketsAndMerchants"".md",missing topic note
"""{ allTags }"":",create_planned,"/home/dan/wealtheow/Topic Notes/""{ allTags }"":.md",missing topic note
"""{ tags }"":",create_planned,"/home/dan/wealtheow/Topic Notes/""{ tags }"":.md",missing topic note
'On Exactitude in Science' (Short Story),exists,/home/dan/wealtheow/Topic Notes/'On Exactitude in Science' (Short Story).md,topic note already exists
'Red Zone' (Quotation),exists,/home/dan/wealtheow/Topic Notes/'Red Zone' (Quotation).md,topic note already exists
'Worker Moment' (Quotation),exists,/home/dan/wealtheow/Topic Notes/'Worker Moment' (Quotation).md,topic note already exists
1.C Practice Sentences,create_planned,/home/dan/wealtheow/Topic Notes/1.C Practice Sentences.md,missing topic note
1789 (Year),exists,/home/dan/wealtheow/Topic Notes/1789 (Year).md,topic note already exists
1872,exists,/home/dan/wealtheow/Topic Notes/1872.md,topic note already exists
1899,exists,/home/dan/wealtheow/Topic Notes/1899.md,topic note already exists
18th Century,create_planned,/home/dan/wealtheow/Topic Notes/18th Century.md,missing topic note
18th century,create_planned,/home/dan/wealtheow/Topic Notes/18th century.md,missing topic note
18th-century fiction,create_planned,/home/dan/wealtheow/Topic Notes/18th-century fiction.md,missing topic note
1930s,exists,/home/dan/wealtheow/Topic Notes/1930s.md,topic note already exists
1930s politics,create_planned,/home/dan/wealtheow/Topic Notes/1930s politics.md,missing topic note
1939-1945 (Period),exists,/home/dan/wealtheow/Topic Notes/1939-1945 (Period).md,topic note already exists
1941-1979 (Era),exists,/home/dan/wealtheow/Topic Notes/1941-1979 (Era).md,topic note already exists
1950s,create_planned,/home/dan/wealtheow/Topic Notes/1950s.md,missing topic note
1950s (Period),exists,/home/dan/wealtheow/Topic Notes/1950s (Period).md,topic note already exists
1960s (Period),exists,/home/dan/wealtheow/Topic Notes/1960s (Period).md,topic note already exists
1960s literature,create_planned,/home/dan/wealtheow/Topic Notes/1960s literature.md,missing topic note
1960s New York,create_planned,/home/dan/wealtheow/Topic Notes/1960s New York.md,missing topic note
1962,exists,/home/dan/wealtheow/Topic Notes/1962.md,topic note already exists
1970s,exists,/home/dan/wealtheow/Topic Notes/1970s.md,topic note already exists
1970s architecture,create_planned,/home/dan/wealtheow/Topic Notes/1970s architecture.md,missing topic note
1970s Cinema,create_planned,/home/dan/wealtheow/Topic Notes/1970s Cinema.md,missing topic note
1970s Europe,create_planned,/home/dan/wealtheow/Topic Notes/1970s Europe.md,missing topic note
1972 bombings,create_planned,/home/dan/wealtheow/Topic Notes/1972 bombings.md,missing topic note
1978,exists,/home/dan/wealtheow/Topic Notes/1978.md,topic note already exists
1979,exists,/home/dan/wealtheow/Topic Notes/1979.md,topic note already exists
1979-1997 (Era),exists,/home/dan/wealtheow/Topic Notes/1979-1997 (Era).md,topic note already exists
1980s,exists,/home/dan/wealtheow/Topic Notes/1980s.md,topic note already exists
1980s horror cinema,create_planned,/home/dan/wealtheow/Topic Notes/1980s horror cinema.md,missing topic note
1984,exists,/home/dan/wealtheow/Topic Notes/1984.md,topic note already exists
1989,exists,/home/dan/wealtheow/Topic Notes/1989.md,topic note already exists
1990s,exists,/home/dan/wealtheow/Topic Notes/1990s.md,topic note already exists
1990s tech boom,create_planned,/home/dan/wealtheow/Topic Notes/1990s tech boom.md,missing topic note
1991,exists,/home/dan/wealtheow/Topic Notes/1991.md,topic note already exists
1992,exists,/home/dan/wealtheow/Topic Notes/1992.md,topic note already exists
1993,exists,/home/dan/wealtheow/Topic Notes/1993.md,topic note already exists
1994,exists,/home/dan/wealtheow/Topic Notes/1994.md,topic note already exists
1996,exists,/home/dan/wealtheow/Topic Notes/1996.md,topic note already exists
1997-,exists,/home/dan/wealtheow/Topic Notes/1997-.md,topic note already exists
19th Century,create_planned,/home/dan/wealtheow/Topic Notes/19th Century.md,missing topic note
19th Century (s.xix),exists,/home/dan/wealtheow/Topic Notes/19th Century (s.xix).md,topic note already exists
19th century literature,create_planned,/home/dan/wealtheow/Topic Notes/19th century literature.md,missing topic note
19th-century scholarly incentives,create_planned,/home/dan/wealtheow/Topic Notes/19th-century scholarly incentives.md,missing topic note
19th-century scholarship,create_planned,/home/dan/wealtheow/Topic Notes/19th-century scholarship.md,missing topic note
2000s,exists,/home/dan/wealtheow/Topic Notes/2000s.md,topic note already exists
2006,exists,/home/dan/wealtheow/Topic Notes/2006.md,topic note already exists
2008,exists,/home/dan/wealtheow/Topic Notes/2008.md,topic note already exists
2008-,exists,/home/dan/wealtheow/Topic Notes/2008-.md,topic note already exists
